"bh","bh_clean","response_id"
"[Other. Please write in:] Cambodian/ Thai","cambodian/ thai",136141961
"[Other. Please write in:] Taiwanese","taiwanese",136487862
"[Other. Please write in:] Burmese","burmese",136634399
"[Other. Please write in:] Bangladeshi","bangladeshi",138114605
"[Other. Please write in:] Khmer","khmer",138115567
"[Other. Please write in:] Indonesian","indonesian",138116705
"[Other. Please write in:] Thai","thai",138116843
"[Other. Please write in:] Bengali","bengali",138116917
"[Other. Please write in:] Cambodian","cambodian",138118595
"[Other. Please write in:] Bangladesh","bangladesh",138119968
"[Other. Please write in:] Pakistani","pakistani",138122195
"[Other. Please write in:] Southwest Asian","southwest asian",138122621
"[Other. Please write in:] Tartarian/Mongolian","tartarian/mongolian",138125492
"[Other. Please write in:] Central Asian / Uzbek","central asian / uzbek",138133544
"[Other. Please write in:] Kazakh","kazakh",138135364
"[Other. Please write in:] Laos","laos",138136441
"[Other. Please write in:] Cambodian Chinese","cambodian chinese",138137573
"[Other. Please write in:] Filipino","filipino",138139600
"[Other. Please write in:] Chinese Indonesian","chinese indonesian",138142122
