"response_id","language","age_group","age1517","age1821","age2224","age_minor_adult","numerical_age","ar","as","at","au","av","aw","ax","ay","az","ba","bb","bc","bd","be","bf","bg","bh","bi","bj","bk","bl","bm","bn","bo","bp","bq","br","bs","race","bt","bu","bv","bw","bx","by","bz","ca","cb","cc","cd","ce","cf","survey_source","cbo_involvement","ck","cl","cm","cn","co","cp","cq","cr","cs","ct","cu","cv","cw","cx","cy","q10","q10a","q10b","dd","de","df","favorite_movie","q12","q12a","dk","dl","dm","dn","do","dp","dq","dr","ds","dt","du","dv","dx","dy","dz","ea","eb","ec","ed","ef","eg","eh","ei","ej","ek","el","em","en","eo","ep","eq","er","es","et","eu","ev","ew","ex","ey","q19","q20","fc","fd","fe","ff","fg","fh","fi","fj","fk","fl","q22","fo","fp","fq","fr","fs","ft","fu","fv","fw","fx","sex_at_birth","q24","ga","gb","gc","gd","ge","gf","gg","q25","q26","q27","q28","org","org_spa","org_sp_an","spa_final_respondent","spa_name_final_respondent","zipcode_clean_respondent","age_wt","nh_race","acs_race","race_wt","sex_wt","spa_wt","weights_a1","weights_a2","weights_a3","weights_final"
136135266,1,3,0,0,1,2,23,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,1,2,2,2,3,2,2,4,4,4,4,5,5,4,5,3,3,2,NA,1,1,3,"Howls moving castle, or the phantom of the opera",1,3,3,2,2,2,2,2,2,2,2,2,1,1,2,3,2,2,2,2,"Fruit",2,3,3,3,2,2,6,5,6,3,2,3,3,2,5,3,5,5,2,4,3,"93551",NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,"[Something else. Please write in:] Pansexual",2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,"45374","Antelope Valley",1,1,"Antelope Valley","93551",1.1320941575718,"latinx","latino",1.09688073364118,0.845489762234009,0.681803888304967,1.1320941575718,1.24177227010825,1.04990574140261,0.715829816842007
136141961,1,3,0,0,1,2,22,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Other. Please write in:] Cambodian/ Thai",NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Other. Please write in:] n/a",1,4,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,2,2,4,2,4,4,4,2,4,2,4,3,5,3,4,2,1,1,NA,2,2,3,"favorite show at the moment is 'Sweet Tooth'",1,1,4,4,3,1,3,2,2,2,2,2,2,2,4,4,4,4,1,4,"hm i just love a meal, hard to eat snacks.",4,2,3,5,6,6,6,1,6,3,1,3,2,5,4,5,5,5,1,5,4,"90805",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"63","Downtown Los Angeles (SPA 4)",4,8,"South Bay","90805",1.1320941575718,"nh_twoormor","nh_other",0.403590118954918,0.845489762234009,1.31382052787373,1.1320941575718,0.45690201572257,0.386305976637515,0.507536722146678
136142228,1,2,0,1,0,2,19,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"[Other. Please write in:] N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Other. Please write in:] N/A",NA,1,NA,1,1,NA,NA,NA,"[Other. Please write in:] Looking for another job",NA,NA,NA,1,NA,NA,2,1,3,3,3,2,3,3,3,3,3,5,3,1,3,3,1,1,1,NA,2,2,2,"Lyabrinth",1,2,3,4,3,2,3,2,2,2,2,1,1,1,2,4,4,1,1,1,"Strawberries",3,3,2,2,1,1,1,1,1,3,3,1,1,2,4,3,4,2,1,3,2,"93536",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,"45374","Antelope Valley",1,1,"Antelope Valley","93536",1.1320941575718,"latinx","latino",1.09688073364118,0.845489762234009,0.681803888304967,1.1320941575718,1.24177227010825,1.04990574140261,0.715829816842007
136142609,1,2,0,1,0,2,21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,3,3,4,4,4,4,4,4,4,4,2,2,3,2,1,1,1,5,NA,3,4,4,"La La Land",1,4,4,4,4,4,2,2,2,2,2,2,2,2,3,3,3,3,3,3,"Hot Cheetos",2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,"90022",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"49","South",6,7,"East","90022",1.1320941575718,"latinx","latino",1.09688073364118,0.845489762234009,1.36973911303646,1.1320941575718,1.24177227010825,1.04990574140261,1.4380969590007
136143006,1,3,0,0,1,2,24,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,2,3,3,4,4,2,4,3,1,1,1,1,1,1,1,3,NA,3,3,3,"13 going to 30",1,3,3,2,2,2,3,2,3,2,2,2,3,2,2,3,2,3,2,3,"Watermelon",1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,3,3,"90280",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"org7","East",7,7,"East","90280",1.1320941575718,"latinx","latino",1.09688073364118,1,1.36973911303646,1.1320941575718,1.24177227010825,1.24177227010825,1.70090404785134
136172441,1,2,0,1,0,2,19,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,3,4,4,3,4,4,3,3,4,1,1,2,1,2,1,1,4,NA,4,4,4,"Black Panther",1,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,3,3,3,"Twix",6,1,1,1,1,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,"93550",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"65","South Bay",8,1,"Antelope Valley","93550",1.1320941575718,"nh_white","nh_white",2.68143771256302,1.21570023966338,0.681803888304967,1.1320941575718,3.03563996828528,3.69042823697616,2.51614832148079
136183460,1,3,0,0,1,2,23,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,4,3,4,3,4,4,4,3,3,1,1,2,2,2,1,1,4,NA,4,4,4,"Stranger Things",2,5,4,4,3,3,2,2,2,2,2,2,2,2,4,4,3,4,4,3,"Popcorn",2,6,1,2,1,6,6,1,6,2,1,2,1,1,1,1,1,1,1,1,2,"90250",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"65","South Bay",8,8,"South Bay","90250",1.1320941575718,"nh_asian","nh_asian",1.08363123302043,0.845489762234009,1.31382052787373,1.1320941575718,1.22677258786475,1.03722366362897,1.36272574127214
136187203,1,3,0,0,1,2,24,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,4,4,4,5,5,4,4,5,2,2,1,1,1,1,1,1,NA,2,2,2,"Sponge bob",2,4,2,1,3,2,1,2,2,2,2,2,2,2,5,5,5,5,5,5,"Milkshakes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,5,3,5,4,"90026",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,"67","Metro",4,4,"Metro","90026",1.1320941575718,"latinx","latino",1.09688073364118,0.845489762234009,0.687491525901725,1.1320941575718,1.24177227010825,1.04990574140261,0.721801300209861
136190123,1,3,0,0,1,2,22,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,2,2,3,2,3,3,4,3,5,3,4,3,3,2,3,1,NA,3,4,4,"Twin Peaks",2,4,2,2,4,3,3,2,2,2,2,2,2,3,2,4,3,2,1,2,"Fruits",1,1,1,2,6,6,6,1,6,2,1,1,1,2,4,3,3,3,2,5,2,"90033",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"39","East",7,4,"Metro","90033",1.1320941575718,"latinx","latino",1.09688073364118,0.845489762234009,0.687491525901725,1.1320941575718,1.24177227010825,1.04990574140261,0.721801300209861
136195603,1,2,0,1,0,2,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Other. Please write in:] None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Other. Please write in:] None",NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,3,4,4,3,3,3,3,4,3,4,2,2,1,2,1,1,2,NA,2,4,3,"Coraline :)",1,4,4,4,4,3,2,2,2,2,2,2,2,2,4,4,4,2,3,4,"Twix",3,2,3,3,6,6,6,6,6,4,1,3,3,2,2,2,2,2,2,2,2,"90025",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,"71","Downtown Los Angeles",4,5,"West","90025",1.1320941575718,"nh_black","nh_black",0.442724626389808,0.845489762234009,1.54268154967763,1.1320941575718,0.50120596294906,0.423764510444068,0.653733691670236
