"bh","response_id"
"[Other. Please write in:] Cambodian/ Thai",136141961
"[Other. Please write in:] N/A",136142228
"[Other. Please write in:] None",136195603
"[Other. Please write in:] Doesn't apply to me",136371658
"[Other. Please write in:] Native Hawaiian",136406174
"[Other. Please write in:] Mexican",136468494
"[Other. Please write in:] African",136469340
"[Other. Please write in:] Mexican american",136470037
"[Other. Please write in:] Taiwanese",136487862
"[Other. Please write in:] African American",136497881
"[Other. Please write in:] Non",136523702
"[Other. Please write in:] I’m not Asian. I’m German and Irish",136599321
"[Other. Please write in:] Hispanic",136631908
"[Other. Please write in:] Burmese",136634399
"[Other. Please write in:] Bangladeshi",138114605
"[Other. Please write in:] Khmer",138115567
"[Other. Please write in:] Indonesian",138116705
"[Other. Please write in:] Bengali",138116917
"[Other. Please write in:] cambodian",138118851
"[Other. Please write in:] Thai",138116843
"[Other. Please write in:] Bangladesh",138119968
"[Other. Please write in:] Pakistani",138122195
"[Other. Please write in:] Southwest Asian",138122621
"[Other. Please write in:] Tartarian/Mongolian",138125492
"[Other. Please write in:] Central Asian / Uzbek",138133544
"[Other. Please write in:] Kazakh",138135364
"[Other. Please write in:] Laos",138136441
"[Other. Please write in:] Cambodian Chinese",138137573
"[Other. Please write in:] Filipino",138139600
"[Other. Please write in:] Chinese Indonesian",138142122
